Designator,Mid X,Mid Y,Layer,Rotation
P13,-2.2352mm,-54.3560mm,T,270
JP24,-5.4864mm,24.5110mm,T,360
JP4,-8.9490mm,-121.6516mm,T,360
R11,-9.0961mm,-32.3980mm,B,180
R9,-9.0961mm,-36.9700mm,B,180
R8,-9.0961mm,-33.9220mm,B,360
R5,-9.0961mm,-35.4460mm,B,360
R111,-11.9634mm,-97.5614mm,T,360
C102,-11.9634mm,-97.5614mm,B,180
R119,-12.6492mm,-100.4570mm,T,90
R118,-13.5382mm,-103.0224mm,T,180
L22,-14.1774mm,-108.3129mm,T,90
R117,-14.4018mm,-100.4570mm,T,90
D6,-14.7574mm,15.3670mm,T,90
R110,-15.0430mm,-97.5360mm,T,180
C101,-15.0430mm,-97.5360mm,B,360
C25,-17.2340mm,-20.5740mm,T,90
C8,-17.6950mm,-3.7338mm,T,90
C46,-17.7651mm,-48.7810mm,T,270
R109,-18.0086mm,-97.5360mm,T,360
C100,-18.0086mm,-97.5360mm,B,180
C5,-18.1940mm,-31.6230mm,B,90
S1,-18.5354mm,23.4380mm,T,180
R116,-18.6436mm,-100.4570mm,T,90
C34,-18.7960mm,-52.0700mm,T,270
C12,-19.2190mm,-3.7338mm,B,90
C15,-19.3294mm,-45.4914mm,T,180
C28,-19.5200mm,-20.5740mm,B,90
R115,-19.5326mm,-103.0224mm,T,180
C42,-19.5431mm,-48.7810mm,B,270
C4,-19.8450mm,-31.6230mm,B,90
U13,-19.9390mm,-90.6272mm,T,90
U12,-19.9390mm,-77.7685mm,T,90
L21,-20.2132mm,-108.3129mm,T,90
L2,-20.2730mm,-4.2418mm,T,180
L5,-20.3200mm,-20.9550mm,T,180
R114,-20.3708mm,-100.4570mm,T,90
L10,-20.5486mm,-48.3362mm,T,180
C19,-20.8741mm,-34.8110mm,B,180
C14,-20.8741mm,-34.8110mm,T,360
C10,-20.8741mm,-36.4620mm,B,360
C6,-20.8741mm,-36.4620mm,T,180
R108,-21.0490mm,-97.5360mm,T,180
C99,-21.0490mm,-97.5360mm,B,360
L6,-21.2090mm,-51.5620mm,T,0
R6,-21.2360mm,-53.7210mm,T,0
C13,-21.2510mm,-3.7338mm,B,90
C27,-21.2980mm,-20.5740mm,B,90
C41,-21.5751mm,-48.7810mm,B,270
R15,-21.8440mm,-17.5260mm,T,180
L1,-22.5040mm,-31.1150mm,B,360
R13,-22.6060mm,-25.0190mm,T,180
R2,-22.6060mm,-0.6858mm,T,180
R1,-22.6060mm,-8.1788mm,T,180
C11,-22.8180mm,-3.7338mm,B,90
C7,-22.8180mm,-3.7338mm,T,90
C26,-22.8220mm,-20.5740mm,B,90
C24,-22.8220mm,-20.5740mm,T,90
C47,-22.9721mm,-48.7810mm,T,270
C43,-22.9721mm,-48.7810mm,B,270
C143,-23.0124mm,18.4150mm,B,90
C138,-23.0124mm,18.4150mm,T,270
C33,-23.7110mm,-52.1970mm,B,270
C29,-23.7110mm,-52.1970mm,T,270
R107,-24.1630mm,-97.5360mm,T,360
C98,-24.1630mm,-97.5360mm,B,180
R113,-24.8920mm,-100.4570mm,T,90
C3,-25.1790mm,-31.7500mm,B,90
R112,-25.7556mm,-103.0224mm,T,180
L30,-25.8318mm,17.6650mm,T,180
L29,-25.8318mm,19.1650mm,T,180
C16,-26.2411mm,-45.8600mm,B,45
L20,-26.2438mm,-108.3129mm,T,90
R105,-26.5430mm,-100.4570mm,T,90
C103,-26.9240mm,-82.3454mm,T,90
C96,-26.9240mm,-73.0504mm,T,90
C95,-26.9240mm,-87.1171mm,T,90
R106,-27.2110mm,-97.5360mm,T,180
C97,-27.2110mm,-97.5360mm,B,360
L3,-27.4320mm,-43.9166mm,B,135
C142,-27.8384mm,18.5420mm,T,270
U3,-28.1940mm,-21.2090mm,T,180
U1,-28.1940mm,-4.3688mm,T,180
JP27,-28.6004mm,24.5110mm,T,0
C17,-29.2862mm,-42.5704mm,B,45
C167,-29.3624mm,18.5420mm,T,90
JP3,-30.1344mm,-121.6516mm,T,360
C18,-30.3022mm,-41.6052mm,B,45
U2,-30.6456mm,-42.2910mm,T,315
R96,-30.9880mm,-97.5360mm,T,360
C93,-30.9880mm,-97.5360mm,B,180
R303,-31.5976mm,17.9420mm,T,270
R104,-31.6484mm,-100.4570mm,T,90
C21,-32.4641mm,-29.4770mm,T,90
R103,-32.5374mm,-103.0224mm,T,180
L19,-33.2078mm,-108.3129mm,T,90
R102,-33.4010mm,-100.4570mm,T,90
R14,-33.6071mm,-51.7020mm,T,90
C38,-33.6550mm,-20.4470mm,T,90
C35,-33.6550mm,-20.4470mm,B,90
C22,-33.6550mm,-3.7338mm,T,90
C20,-33.6550mm,-3.7338mm,B,90
R95,-34.0676mm,-97.5360mm,T,180
C92,-34.0868mm,-97.5360mm,B,360
R7,-34.7726mm,-8.1534mm,T,360
R17,-34.7980mm,-23.6220mm,T,180
R16,-34.7980mm,-17.3990mm,T,360
R3,-34.7980mm,-0.5588mm,T,0
L4,-36.0680mm,-4.3688mm,T,180
L8,-36.1950mm,-20.8280mm,T,180
R94,-37.0332mm,-97.5360mm,T,360
C91,-37.0332mm,-97.5106mm,B,180
C9,-37.4171mm,-49.9240mm,B,90
C1,-37.4171mm,-49.9240mm,T,270
R101,-37.6428mm,-100.4570mm,T,90
C2,-37.9984mm,-28.3464mm,T,270
C23,-38.3540mm,-3.7338mm,T,90
R100,-38.5318mm,-103.0224mm,T,180
C44,-38.6871mm,-35.8270mm,T,270
C40,-38.6871mm,-35.8270mm,B,270
C39,-38.8620mm,-20.4470mm,T,90
C37,-38.8981mm,-33.1630mm,T,270
C32,-38.8981mm,-33.1630mm,B,270
U11,-38.9890mm,-90.6272mm,T,90
U10,-38.9890mm,-77.7685mm,T,90
S2,-39.2364mm,23.4380mm,T,180
L18,-39.2436mm,-108.3129mm,T,90
R99,-39.3700mm,-100.4570mm,T,90
R93,-40.0736mm,-97.5360mm,T,180
C90,-40.0736mm,-97.5106mm,B,360
R10,-40.4651mm,-45.2250mm,T,90
C31,-40.6761mm,-33.1600mm,B,270
D7,-41.2242mm,16.3322mm,T,270
R12,-41.4811mm,-39.0020mm,T,180
R4,-41.4811mm,-37.7320mm,T,180
L9,-41.4811mm,-35.4460mm,T,180
L7,-41.5651mm,-32.7170mm,T,0
C30,-42.4541mm,-33.1600mm,B,270
R92,-43.1876mm,-97.5360mm,T,360
C89,-43.1876mm,-97.5106mm,B,180
R98,-43.8912mm,-100.4570mm,T,90
C36,-44.1051mm,-33.1630mm,T,270
C45,-44.1481mm,-35.8270mm,T,270
R97,-44.7548mm,-103.0224mm,T,180
L17,-45.2742mm,-108.3129mm,T,90
R90,-45.5422mm,-100.4570mm,T,90
R91,-46.2356mm,-97.5360mm,T,180
C88,-46.2356mm,-97.5106mm,B,360
C94,-46.3296mm,-87.1171mm,T,270
C87,-46.3296mm,-73.0504mm,T,90
C86,-46.3296mm,-82.3454mm,T,270
