Altium Designer Pick and Place Locations
D:\PCB\DSP_FPGA_LOW\project\DSP_FPGA_BOTTOM\Project Outputs for DSP_FPGA_BOTTOM\Pick Place for DSP_FPGA.csv

========================================================================================================================
File Design Information:

Date:       04/12/19
Time:       15:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"P13","-2.2352mm","-54.3560mm","TopLayer","270"
"R111","-7.2009mm","-97.5868mm","TopLayer","360"
"C102","-7.2009mm","-97.5868mm","BottomLayer","180"
"R119","-7.8867mm","-100.4824mm","TopLayer","90"
"R118","-8.7757mm","-103.0478mm","TopLayer","180"
"JP4","-8.9490mm","-121.6516mm","TopLayer","360"
"R11","-9.0961mm","-32.3980mm","BottomLayer","180"
"R9","-9.0961mm","-36.9700mm","BottomLayer","180"
"R8","-9.0961mm","-33.9220mm","BottomLayer","360"
"R5","-9.0961mm","-35.4460mm","BottomLayer","360"
"L22","-9.4149mm","-108.3383mm","TopLayer","90"
"R117","-9.6393mm","-100.4824mm","TopLayer","90"
"R110","-10.2805mm","-97.5614mm","TopLayer","180"
"C101","-10.2805mm","-97.5614mm","BottomLayer","360"
"R109","-13.2461mm","-97.5614mm","TopLayer","360"
"C100","-13.2461mm","-97.5614mm","BottomLayer","180"
"R116","-13.8811mm","-100.4824mm","TopLayer","90"
"R115","-14.7701mm","-103.0478mm","TopLayer","180"
"U13","-15.1765mm","-90.6526mm","TopLayer","90"
"U12","-15.1765mm","-77.7939mm","TopLayer","90"
"L21","-15.4507mm","-108.3383mm","TopLayer","90"
"R114","-15.6083mm","-100.4824mm","TopLayer","90"
"R108","-16.2865mm","-97.5614mm","TopLayer","180"
"C99","-16.2865mm","-97.5614mm","BottomLayer","360"
"C25","-17.2340mm","-20.5740mm","TopLayer","90"
"C8","-17.6950mm","-3.7338mm","TopLayer","90"
"C46","-17.7651mm","-48.7810mm","TopLayer","270"
"C5","-18.1940mm","-31.6230mm","BottomLayer","90"
"C34","-18.7960mm","-52.0700mm","TopLayer","270"
"C12","-19.2190mm","-3.7338mm","BottomLayer","90"
"C15","-19.3294mm","-45.4914mm","TopLayer","180"
"R107","-19.4005mm","-97.5614mm","TopLayer","360"
"C98","-19.4005mm","-97.5614mm","BottomLayer","180"
"C28","-19.5200mm","-20.5740mm","BottomLayer","90"
"C42","-19.5431mm","-48.7810mm","BottomLayer","270"
"C4","-19.8450mm","-31.6230mm","BottomLayer","90"
"R113","-20.1295mm","-100.4824mm","TopLayer","90"
"L2","-20.2730mm","-4.2418mm","TopLayer","180"
"L5","-20.3200mm","-20.9550mm","TopLayer","180"
"L10","-20.5486mm","-48.3362mm","TopLayer","180"
"C19","-20.8741mm","-34.8110mm","BottomLayer","180"
"C14","-20.8741mm","-34.8110mm","TopLayer","360"
